open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2020-01-17 09:00:00,2.669,2.896,2.592,2.696,8174258.39,22425934.89725,36920.0,3326660.95,9138048.00338
2020-01-18 09:00:00,2.696,2.799,2.56,2.774,7920982.41,21440910.5591,56256.0,3765500.97,10212237.09013
2020-01-19 09:00:00,2.777,2.854,2.519,2.623,9414962.4,25247536.95095,62742.0,4394977.94,11812710.73973
2020-01-20 09:00:00,2.623,2.745,2.544,2.695,7244721.52,19123342.09899,51894.0,3563417.72,9414975.62324
2020-01-21 09:00:00,2.694,2.745,2.561,2.673,5857502.02,15706662.17502,26735.0,2787121.39,7484226.23111
2020-01-22 09:00:00,2.675,2.694,2.626,2.654,3308776.35,8813676.45578,23590.0,1658525.68,4423141.09234
2020-01-23 09:00:00,2.656,2.659,2.43,2.471,5259106.64,13164039.29156,24001.0,2278709.5,5700396.52745
2020-01-24 09:00:00,2.47,2.542,2.35,2.504,3786409.71,9314780.46289,17604.0,1767894.85,4360037.97212
2020-01-25 09:00:00,2.506,2.515,2.436,2.448,2024211.4,4994751.19487,12765.0,958367.54,2367145.30726
2020-01-26 09:00:00,2.449,2.582,2.429,2.575,1798455.47,4519267.92872,11369.0,891444.97,2239309.26723
2020-01-27 09:00:00,2.579,2.683,2.561,2.608,3819200.89,10004663.89104,16970.0,1865555.99,4892033.30792
2020-01-28 09:00:00,2.61,2.678,2.588,2.656,3230957.43,8507284.78084,13645.0,1589627.64,4190398.74831
2020-01-29 09:00:00,2.659,2.839,2.644,2.781,5033997.71,13801884.94774,20584.0,2427954.25,6655546.35881
2020-01-30 09:00:00,2.781,2.95,2.706,2.914,6791645.62,19451691.89007,28002.0,3243700.01,9302092.88132
2020-01-31 09:00:00,2.917,2.929,2.762,2.825,3932003.6,11247269.86853,16776.0,1829815.02,5240990.02612
2020-02-01 09:00:00,2.83,2.888,2.737,2.841,2911735.11,8196149.8842,12378.0,1318041.29,3711310.57885
2020-02-02 09:00:00,2.84,2.894,2.737,2.832,3802570.97,10810858.43364,18795.0,1810162.55,5148739.90924
2020-02-03 09:00:00,2.832,2.884,2.747,2.782,3581271.52,10037299.89042,16967.0,1621178.92,4545860.78377
2020-02-04 09:00:00,2.78,2.806,2.676,2.741,4986574.63,13644207.64028,17959.0,2291039.87,6267967.5205
2020-02-05 09:00:00,2.743,2.891,2.732,2.843,6672109.53,18900536.46915,22807.0,3218452.92,9120534.1829
2020-02-06 09:00:00,2.843,2.97,2.794,2.902,6810869.82,19712674.37223,21822.0,3151233.14,9128597.74034
2020-02-07 09:00:00,2.902,3.365,2.9,3.311,21498629.65,68850706.69227,71514.0,10586725.6,33901958.48476
2020-02-08 09:00:00,3.31,3.48,3.11,3.42,13960201.73,46362591.52324,54174.0,7042277.36,23435086.77828
2020-02-09 09:00:00,3.419,3.525,3.232,3.504,10618619.75,35813340.69914,38497.0,5083883.3,17167315.82176
2020-02-10 09:00:00,3.503,3.511,3.272,3.388,12794908.32,43418524.12255,49850.0,5794213.94,19666690.50898
2020-02-11 09:00:00,3.389,3.999,3.353,3.989,20242362.25,74548717.47831,75307.0,10732729.73,39539693.00367
2020-02-12 09:00:00,3.992,4.2,3.861,3.988,21463540.02,86826634.52592,100878.0,10294754.6,41669674.61632
2020-02-13 09:00:00,3.996,4.141,3.669,3.878,15384991.48,60731868.18432,64603.0,7018018.08,27728737.45903
2020-02-14 09:00:00,3.877,4.494,3.797,4.43,16408846.63,68503920.94191,83211.0,8214550.79,34311351.41435
2020-02-15 09:00:00,4.434,4.632,4.05,4.328,25198236.75,110588683.66441,133255.0,11969645.22,52669976.81244
2020-02-16 09:00:00,4.327,4.884,4.0,4.454,36234506.95,163125205.46949,140909.0,17564981.78,79300749.04363
2020-02-17 09:00:00,4.45,4.567,3.854,4.302,29599801.05,123703898.05274,169492.0,14117686.95,59084729.30117
2020-02-18 09:00:00,4.308,4.656,4.139,4.564,22201270.68,98623863.46759,115975.0,10866928.33,48339401.36524
2020-02-19 09:00:00,4.56,4.869,4.172,4.386,22940583.81,106394232.85321,128265.0,10946383.01,50903934.72296
2020-02-20 09:00:00,4.386,4.481,4.066,4.267,17990206.45,76620260.75259,112069.0,8558460.75,36501327.68855
2020-02-21 09:00:00,4.268,4.51,4.18,4.275,14439042.63,62753120.25094,72757.0,6895746.31,29985765.52634
2020-02-22 09:00:00,4.276,4.348,4.052,4.105,13391901.76,55927552.89178,91318.0,6475932.35,27059249.34206
2020-02-23 09:00:00,4.105,4.378,4.072,4.236,12543473.13,53348404.71812,72905.0,5998040.06,25506291.58074
2020-02-24 09:00:00,4.239,4.295,3.801,3.923,17653202.98,70972065.43254,94447.0,8143922.81,32786897.56828
2020-02-25 09:00:00,3.923,3.964,3.478,3.491,21775940.01,80529163.54203,115127.0,10031410.3,37152513.7449
2020-02-26 09:00:00,3.49,3.85,3.312,3.564,33762852.07,120328941.26179,150275.0,16145419.77,57550217.5784
2020-02-27 09:00:00,3.564,4.116,3.41,3.956,28829556.63,110000390.49091,153761.0,14294443.14,54597513.30277
2020-02-28 09:00:00,3.956,4.246,3.736,4.161,29404884.64,117100937.67557,146630.0,14890490.07,59365578.84412
2020-02-29 09:00:00,4.161,4.347,4.052,4.062,24864103.87,104867244.03232,124589.0,12165880.47,51352608.55397
2020-03-01 09:00:00,4.056,4.24,3.756,3.858,27557121.23,110010817.57406,165273.0,13172466.09,52678431.5845
2020-03-02 09:00:00,3.862,4.327,3.816,4.242,25221263.83,104164011.44294,134109.0,12699226.48,52485292.05421
2020-03-03 09:00:00,4.242,4.68,4.131,4.591,31643156.84,138112155.38221,203528.0,16422026.17,71650306.82184
2020-03-04 09:00:00,4.591,4.953,4.535,4.635,41814186.91,197884503.97712,285604.0,20498902.92,97087228.83266
2020-03-05 09:00:00,4.634,4.9,4.617,4.707,27195074.19,129411630.56484,150853.0,13090017.36,62324679.14403
2020-03-06 09:00:00,4.71,4.748,4.538,4.683,22760436.87,105646272.83346,136505.0,11317037.29,52575372.35452
2020-03-07 09:00:00,4.683,4.688,4.31,4.342,23882647.15,108044913.49841,137053.0,11309030.72,51211044.36583
2020-03-08 09:00:00,4.342,4.398,3.834,4.059,48713759.73,203716934.70302,198993.0,22791295.5,95460286.70745
2020-03-09 09:00:00,4.059,4.371,3.6,4.12,62199105.65,250653883.92342,271514.0,30732623.48,124039769.44562
2020-03-10 09:00:00,4.12,4.2,3.913,4.08,36483260.51,148060112.80248,187840.0,17519093.88,71135605.08106
2020-03-11 09:00:00,4.079,4.109,3.55,3.815,36061699.63,137670747.46881,177096.0,16954674.93,64781455.49875
