open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2020-05-27 09:00:00,0.404,0.515,0.3,0.3247,471577208.4,191116235.49295,504697.0,254317182.5,103407926.49847
2020-05-28 09:00:00,0.3246,0.3555,0.2777,0.3126,144093762.2,46209080.33182,300449.0,73395212.9,23551639.56375
2020-05-29 09:00:00,0.3127,0.335,0.29,0.3097,63363644.8,19910496.9926,149661.0,30979586.7,9752375.89124
2020-05-30 09:00:00,0.3097,0.3112,0.2822,0.289,47451980.3,14106349.12295,85736.0,21547357.8,6417721.67847
2020-05-31 09:00:00,0.289,0.291,0.2404,0.2472,53574183.7,14255969.38298,83740.0,24668511.2,6573302.43515
2020-06-01 09:00:00,0.2471,0.291,0.243,0.2717,61129836.9,16560786.6616,100176.0,31151396.1,8439704.03875
2020-06-02 09:00:00,0.2715,0.2835,0.1872,0.2541,44630996.5,11613031.88878,75106.0,20213077.9,5298132.50464
2020-06-03 09:00:00,0.2541,0.28,0.2481,0.276,32361842.9,8646804.71079,67395.0,16736636.3,4475564.51719
2020-06-04 09:00:00,0.2765,0.295,0.2691,0.2854,43323931.6,12315692.65657,76269.0,21855791.8,6222489.50535
2020-06-05 09:00:00,0.2854,0.3045,0.2736,0.2787,36294475.5,10518545.48056,57201.0,17828712.8,5180505.07368
2020-06-06 09:00:00,0.2789,0.2824,0.2701,0.2709,14425831.7,3981024.28029,23809.0,6803489.0,1878948.65422
2020-06-07 09:00:00,0.2709,0.2712,0.2495,0.2663,26407874.1,6903838.46867,53128.0,12061587.1,3155912.16135
2020-06-08 09:00:00,0.266,0.2665,0.2537,0.2562,12042694.3,3129431.73379,24191.0,5496149.6,1429764.13235
2020-06-09 09:00:00,0.2563,0.2596,0.2463,0.2528,15861454.9,4021138.9603,34964.0,7410902.2,1881315.55252
2020-06-10 09:00:00,0.2528,0.2549,0.235,0.2403,21141706.3,5203450.00531,33683.0,9599749.1,2364616.68046
2020-06-11 09:00:00,0.2403,0.2506,0.1977,0.205,43762748.7,9824898.38873,56708.0,19205010.6,4321393.57289
2020-06-12 09:00:00,0.205,0.259,0.2006,0.2519,89459274.1,21421814.57938,142679.0,46115429.3,11035073.4588
2020-06-13 09:00:00,0.2521,0.2696,0.2454,0.2524,79778223.2,20585852.22174,134571.0,38088204.6,9841429.03787
2020-06-14 09:00:00,0.2526,0.253,0.2252,0.2314,39929098.4,9496433.74079,60690.0,17928626.6,4266371.24988
2020-06-15 09:00:00,0.2315,0.2388,0.21,0.2342,55965982.5,12571724.84256,87053.0,27172055.3,6111245.52705
2020-06-16 09:00:00,0.2342,0.2385,0.2238,0.2342,21990721.6,5083297.00245,51212.0,10519920.2,2432811.96285
2020-06-17 09:00:00,0.2342,0.2414,0.2236,0.2346,33601223.3,7811198.17007,42208.0,16810793.9,3912472.68612
