open_time,open,high,low,close,volume,quote_asset_vol,trade_num,taker_buy_base_vol,taker_buy_quote_vol
2023-04-13 09:00:00,6.882,7.391,6.677,7.004,2116526.3,14688186.2547,130032.0,976610.1,6779196.9566
2023-04-14 09:00:00,6.991,8.65,6.778,8.0,10660910.8,84468326.6944,480933.0,5150350.7,40868825.6839
2023-04-15 09:00:00,8.0,8.26,7.415,7.672,4920516.1,38269246.0867,228737.0,2301887.0,17917224.0115
2023-04-16 09:00:00,7.685,8.27,7.327,8.006,3138368.7,24428745.8998,152590.0,1454946.6,11340065.3577
2023-04-17 09:00:00,8.007,8.13,7.417,7.507,1744850.3,13371858.7707,90208.0,792881.1,6078072.1398
2023-04-18 09:00:00,7.507,7.725,7.2,7.488,1748847.4,13056451.7237,75756.0,764824.9,5714567.81
2023-04-19 09:00:00,7.488,7.671,6.3,6.681,1737582.8,12181695.6571,82790.0,778244.7,5459929.6818
2023-04-20 09:00:00,6.686,6.821,6.301,6.543,1184224.4,7811814.8729,56847.0,580515.7,3830542.3111
2023-04-21 09:00:00,6.543,6.673,5.846,6.203,1201226.6,7573567.7016,54287.0,567909.5,3583305.1598
2023-04-22 09:00:00,6.202,6.426,6.121,6.416,807407.0,5056821.8624,45395.0,388228.4,2433540.5967
2023-04-23 09:00:00,6.416,6.448,6.009,6.364,826070.0,5175580.0878,43485.0,395751.0,2479255.2555
2023-04-24 09:00:00,6.364,6.588,5.948,6.243,1022806.8,6350655.3421,49755.0,485954.1,3019335.9724
2023-04-25 09:00:00,6.244,6.326,5.824,6.217,1367967.5,8259732.5701,58175.0,644780.4,3890426.9861
2023-04-26 09:00:00,6.215,6.731,5.8,6.242,2851179.2,18251209.5663,105722.0,1350175.8,8648524.4362
2023-04-27 09:00:00,6.244,6.479,5.997,6.47,1219116.6,7568103.26,61914.0,587118.2,3648514.4146
2023-04-28 09:00:00,6.471,6.572,6.131,6.274,1561417.7,9849886.9959,78184.0,729254.9,4604483.7997
2023-04-29 09:00:00,6.272,6.523,6.22,6.428,1320865.1,8409796.2251,68880.0,632391.1,4028750.051
2023-04-30 09:00:00,6.428,6.431,6.127,6.329,1029614.0,6471344.5612,65127.0,509711.5,3205270.4562
2023-05-01 09:00:00,6.327,6.357,5.832,5.999,904628.4,5477468.3762,57229.0,415214.9,2512602.4107
2023-05-02 09:00:00,5.999,6.006,5.734,5.956,1006903.7,5916556.3439,55086.0,481857.2,2831901.2185
2023-05-03 09:00:00,5.957,6.189,5.552,6.144,1623885.7,9445425.8805,85356.0,795910.7,4625652.093
2023-05-04 09:00:00,6.144,6.348,5.884,6.023,2622013.1,16036149.1222,101143.0,1291709.3,7905426.1768
2023-05-05 09:00:00,6.022,6.213,5.913,6.177,1196537.9,7273120.7004,52386.0,581210.6,3534091.6863
2023-05-06 09:00:00,6.178,6.18,5.532,5.592,1284652.4,7409408.0293,50590.0,606244.8,3490981.3386
2023-05-07 09:00:00,5.593,5.635,5.295,5.357,1667036.3,9033896.6143,61900.0,815481.9,4418976.2719
2023-05-08 09:00:00,5.357,5.421,4.628,4.648,1838915.4,9200063.1335,64602.0,829338.7,4155561.0468
2023-05-09 09:00:00,4.648,4.926,4.56,4.906,1806922.4,8561467.2122,57033.0,909308.9,4307781.5472
2023-05-10 09:00:00,4.907,5.238,4.739,4.926,2025562.0,10094358.8285,62677.0,984636.3,4910515.5476
2023-05-11 09:00:00,4.926,4.993,4.588,4.755,1437306.6,6941536.0689,50061.0,699196.8,3376831.3336
2023-05-12 09:00:00,4.756,5.009,4.525,5.002,1630693.5,7608773.1241,65702.0,833173.2,3888424.0416
2023-05-13 09:00:00,5.002,5.003,4.741,4.892,1317424.6,6375353.6211,52696.0,626033.7,3029066.7903
2023-05-14 09:00:00,4.89,5.033,4.814,4.967,793390.0,3901627.2148,34985.0,391286.1,1924436.8451
2023-05-15 09:00:00,4.969,5.104,4.898,5.007,790794.9,3966319.4873,39117.0,381532.1,1914028.7456
