,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
2024-08-10 09:00:00+00:00,0,1,2,3,4,5,6,7,8,9,10,11,12
2024-08-12 09:00:00+00:00,12,0,2,3,4,5,6,7,8,11,1,9,10
2024-08-13 09:00:00+00:00,10,9,1,12,0,2,3,4,5,7,8,11,6
2024-08-14 09:00:00+00:00,6,1,9,10,12,0,2,3,5,7,8,11,4
2024-08-15 09:00:00+00:00,6,4,9,10,1,12,2,3,5,7,8,11,0
2024-08-16 09:00:00+00:00,6,2,3,5,7,8,11,12,9,1,0,10,4
2024-08-19 09:00:00+00:00,9,10,12,1,4,0,2,3,6,7,8,11,5
2024-08-21 09:00:00+00:00,5,10,4,12,1,0,2,3,6,7,8,11,9
2024-08-23 09:00:00+00:00,10,12,4,2,3,5,6,7,8,9,1,0,11
2024-08-24 09:00:00+00:00,0,11,1,9,3,4,5,6,10,12,2,7,8
2024-08-27 09:00:00+00:00,11,9,3,4,5,10,0,2,1,7,8,12,6
2024-08-28 09:00:00+00:00,8,1,6,0,2,12,7,3,4,5,10,9,11
2024-08-29 09:00:00+00:00,2,3,4,5,8,10,7,0,6,9,12,1,11
2024-08-30 09:00:00+00:00,6,7,9,12,0,1,11,2,3,4,5,10,8
2024-09-01 09:00:00+00:00,7,0,6,1,11,12,9,8,2,5,3,4,10
2024-09-05 09:00:00+00:00,6,3,10,4,0,2,7,9,8,1,11,12,5
