,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
2024-08-09 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1538.17
2024-08-11 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1538.17
2024-08-12 09:00:00,0.0,-0.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-681.5,-7789.0,0.0,-404.48
2024-08-13 09:00:00,0.0,-0.607,0.0,0.0,0.0,0.0,-25.895,0.0,0.0,-539.3,-6159.0,0.0,-327.8
2024-08-14 09:00:00,0.0,-0.525,0.0,0.0,-13662.0,0.0,-21.826,0.0,0.0,-467.3,-5473.0,0.0,-293.35
2024-08-15 09:00:00,-0.021,-0.477,0.0,0.0,-12246.0,0.0,-18.777,0.0,0.0,-419.0,-4961.0,0.0,-271.95000000000005
2024-08-16 09:00:00,-0.024,-0.546,0.0,0.0,-14114.0,0.0,0.0,0.0,0.0,-479.1,-5695.0,0.0,-310.94000000000005
2024-08-17 09:00:00,-0.024,-0.546,0.0,0.0,-14114.0,0.0,0.0,0.0,0.0,-479.1,-5695.0,0.0,-310.94000000000005
2024-08-18 09:00:00,-0.024,-0.546,0.0,0.0,-14114.0,0.0,0.0,0.0,0.0,-479.1,-5695.0,0.0,-310.94000000000005
2024-08-19 09:00:00,-0.022,-0.521,0.0,0.0,-13545.0,-134.83,0.0,0.0,0.0,-479.1,-5280.0,0.0,-296.19000000000005
2024-08-20 09:00:00,-0.022,-0.521,0.0,0.0,-13545.0,-134.83,0.0,0.0,0.0,5.684341886080804e-14,-5280.0,0.0,-296.19000000000005
2024-08-21 09:00:00,-0.0199999999999999,-0.506,0.0,0.0,-12531.0,0.0,0.0,0.0,0.0,413.00000000000006,-4852.0,0.0,-280.32000000000005
2024-08-22 09:00:00,-0.0199999999999999,-0.506,0.0,0.0,-12531.0,0.0,0.0,0.0,0.0,413.00000000000006,-4852.0,0.0,-280.32000000000005
2024-08-23 09:00:00,-0.03,-0.6910000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.7,0.0,1351.6,-5.684341886080804e-14
2024-08-24 09:00:00,-0.015,-0.3440000000000001,1555.9,0.0,0.0,0.0,0.0,12522.0,43894.0,280.30000000000007,0.0,673.0999999999999,-178.19000000000003
2024-08-25 09:00:00,-0.015,-0.3440000000000001,1555.9,0.0,0.0,0.0,0.0,12522.0,43894.0,280.30000000000007,0.0,673.0999999999999,-178.19000000000003
2024-08-26 09:00:00,-0.015,-0.3440000000000001,1555.9,0.0,0.0,0.0,0.0,12522.0,43894.0,280.30000000000007,0.0,673.0999999999999,-178.19000000000003
2024-08-27 09:00:00,-0.018,-0.4260000000000001,1848.4,0.0,0.0,0.0,-17.364,15706.0,55423.0,5.684341886080804e-14,0.0,-1.1368683772161605e-13,-228.1200000000001
2024-08-28 09:00:00,-0.016,-0.3640000000000001,1615.4,0.0,0.0,0.0,-14.873,14155.0,0.0,346.80000000000007,0.0,-739.6000000000001,-199.99000000000007
2024-08-29 09:00:00,-0.018,-0.4190000000000001,0.0,0.0,0.0,0.0,-16.948,15255.0,0.0,397.1000000000001,0.0,-864.9000000000001,-229.77000000000007
2024-08-30 09:00:00,-0.016,-0.3660000000000001,0.0,0.0,0.0,0.0,-14.258,12991.0,46361.0,343.7000000000001,0.0,-759.3000000000001,-199.30000000000007
2024-08-31 09:00:00,-0.016,-0.3660000000000001,0.0,0.0,0.0,0.0,-14.258,12991.0,46361.0,343.7000000000001,0.0,-759.3000000000001,-199.30000000000007
2024-09-01 09:00:00,-0.013,-0.2990000000000001,0.0,-6.0,-7624.0,0.0,-11.399,0.0,41106.0,301.4000000000001,-3081.0,-630.9000000000001,-168.68000000000006
2024-09-02 09:00:00,-0.013,-0.2990000000000001,0.0,-6.0,-7624.0,0.0,-11.399,0.0,41106.0,301.4000000000001,-3081.0,-630.9000000000001,-168.68000000000006
2024-09-03 09:00:00,-0.013,-0.2990000000000001,0.0,-6.0,-7624.0,0.0,-11.399,0.0,41106.0,301.4000000000001,-3081.0,-630.9000000000001,-168.68000000000006
2024-09-04 09:00:00,-0.013,-0.2990000000000001,0.0,-6.0,-7624.0,0.0,-11.399,0.0,41106.0,301.4000000000001,-3081.0,-630.9000000000001,-168.68000000000006
2024-09-05 09:00:00,-0.011000000000000001,-0.2990000000000001,0.0,-5.0,-7391.0,-72.55,-1.7763568394002505e-15,0.0,41907.0,303.5000000000001,-2985.0,-657.2,-186.28000000000006
