,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,LINKUSDT,LTCUSDT,PEOPLEUSDT,GALAUSDT,UNFIUSDT,SANDUSDT,THETAUSDT,ATOMUSDT
2024-08-09 09:00:00,0.0,0.0,4600.9,17.0,0.0,0.0,0.0,0.0,-158447.0,0.0,0.0,0.0,0.0
2024-08-10 09:00:00,0.026,0.0,2734.4,10.0,0.0,0.0,0.0,26763.0,-94678.0,0.0,0.0,0.0,0.0
2024-08-11 09:00:00,0.016,-0.375,1729.6999999999996,7.0,0.0,-95.7,0.0,17950.0,-61089.0,338.5,0.0,0.0,0.0
2024-08-12 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-13 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-14 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-15 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-16 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-17 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-18 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-19 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-20 09:00:00,0.01,-0.218,1046.4999999999995,4.0,5522.0,-56.34,9.673,9848.0,-35509.0,197.0,2259.0,500.5,117.27
2024-08-21 09:00:00,0.008,-0.227,994.8999999999996,5.0,5622.0,53.14,9.289,9939.0,-32512.0,185.7,2177.0,482.1,125.75
2024-08-22 09:00:00,0.008,-0.227,994.8999999999996,5.0,5622.0,53.14,9.289,9939.0,-32512.0,185.7,2177.0,482.1,125.75
2024-08-23 09:00:00,0.011,-0.249,1127.1999999999996,4.0,6096.0,57.12,10.415,10012.0,0.0,200.9,2294.0,487.7000000000001,135.11
2024-08-24 09:00:00,0.011,-0.249,1127.1999999999996,4.0,6096.0,57.12,10.415,10012.0,0.0,200.9,2294.0,487.7000000000001,135.11
2024-08-25 09:00:00,0.011,-0.249,1127.1999999999996,4.0,6096.0,57.12,10.415,10012.0,0.0,200.9,2294.0,487.7000000000001,135.11
2024-08-26 09:00:00,0.011,-0.249,1127.1999999999996,4.0,6096.0,57.12,10.415,10012.0,0.0,200.9,2294.0,487.7000000000001,135.11
2024-08-27 09:00:00,0.0,-0.62,2690.2,10.0,0.0,0.0,0.0,22854.0,0.0,-554.6,0.0,5.684341886080804e-14,0.0
2024-08-28 09:00:00,0.0,-0.378,1681.9999999999998,0.0,-9619.0,0.0,0.0,14725.0,0.0,-360.4000000000001,-3774.0,769.6000000000001,-208.39
2024-08-29 09:00:00,-0.012,-0.276,-2.273736754432321e-13,-5.0,-6960.0,-63.91,0.0,10065.0,-37254.0,-262.0,-2767.0,570.9000000000001,-151.64
2024-08-30 09:00:00,-0.012,-0.276,-2.273736754432321e-13,-5.0,-6960.0,-63.91,0.0,10065.0,-37254.0,-262.0,-2767.0,570.9000000000001,-151.64
2024-08-31 09:00:00,-0.012,-0.276,-2.273736754432321e-13,-5.0,-6960.0,-63.91,0.0,10065.0,-37254.0,-262.0,-2767.0,570.9000000000001,-151.64
2024-09-01 09:00:00,-0.01,-0.268,-1211.1,-6.0,-7013.0,-63.91,0.0,-11283.0,-37577.0,-275.5,-2815.0,576.7,-154.19
2024-09-02 09:00:00,-0.012,-0.234,-1047.5000000000002,-4.0,-5998.0,-53.33,9.101,-9607.0,-32137.0,-231.0,-2376.0,500.9,-134.11
2024-09-03 09:00:00,-0.012,-0.234,-1047.5000000000002,-4.0,-5998.0,-53.33,9.101,-9607.0,-32137.0,-231.0,-2376.0,500.9,-134.11
2024-09-04 09:00:00,-0.012,-0.234,-1047.5000000000002,-4.0,-5998.0,-53.33,9.101,-9607.0,-32137.0,-231.0,-2376.0,500.9,-134.11
2024-09-05 09:00:00,-0.012,-0.234,-1047.5000000000002,-4.0,-5998.0,-53.33,9.101,-9607.0,-32137.0,-231.0,-2376.0,500.90000000000003,-134.11
